Rest_id,name,lat,lon,rating
231,Gabbar Meals,28.459424,77.0726806,3.4
232,Kabab Roll Cafe,28.4593835,77.0727256,3.8
233,Starbucks,28.4588688,77.0725008,3.8
234,Eggers Madhouse,28.459424,77.0726806,4
235,Nukkadwala,28.419985,77.038187,3.4
236,Power Play Resto Bar,28.4797315,77.088553,2.8
237,Daikichi,28.4797893,77.0886879,3.6
238,Barista,28.4805404,77.1023726,3.3
239,Bengali By Nature,28.4766191,77.0827529,3.3
240,Burger Planet,28.4771042,77.085001,3.2
241,Cafe Coffee Day,28.4797836,77.0802349,3.1
242,Chini Bowl,28.476072,77.0761927,2.8
243,E Yum,28.47773187,77.10031841,3.4
244,Komachi,28.4776351,77.0731066,3.2
245,Mini Mahal Delux,28.4787425,77.0805946,2.8
246,Pita Pan,28.4805094,77.0803248,3.1
247,China Club,28.4800544,77.1020369,3.8
248,Coriander Leaf,28.4775699,77.0811126,3.8
249,Doughlicious,28.4806694,77.1026087,3.6
250,FreshMenu,28.4800592,77.0820362,3.7
251,The Cakelicious Factory,28.4821819,77.0963632,3.6
252,New Zaika,28.477294,77.0692631,2.4
253,Love Is Cakes,28.4726847,77.0935886,4.1
254,Costa Coffee,28.4798584,77.0894073,3.3
255,Uforia,28.4798411,77.0892274,3.5
256,Pirates of Grill,28.4799415,77.0893563,4.1
257,Barista Creme Lavazza,28.4785568,77.0823932,3.2
258,Frozen Adda,28.4784876,77.0816737,3
259,Mr Idli Xpress,28.4792539,77.0817187,2.6
260,Starbucks,28.4791426,77.0818667,3.5
261,Al Kabab,28.4803301,77.0803248,2.7
262,Barista,28.4809987,77.0800708,3.4
263,Cafe Cravings,28.481108,77.0802574,3.4
264,Hello Sichuan,28.4806523,77.0802215,2.9
265,Rajasthali,28.4808348,77.0802124,2.9
266,Street Foods by Punjab Grill,28.4803301,77.0803248,2.6
267,Subway,28.4804762,77.0802124,3.3
268,Keventers,28.4807697,77.0802349,3.6
269,Khaaja Chowk,28.4805322,77.0801711,3.6
270,Phantom,28.4808594,77.0802349,3.5
271,Sage,28.4805204,77.0801226,3.5
272,The Belgian Fries Company,28.4802478,77.0801674,3.7
273,The Grills King,28.4808767,77.0803727,3.8
274,Chicago Pizza,28.4803174,77.080144,2.3
275,Viva Hyderabad,28.4803866,77.0802124,2.3
276,Cafe Coffee Day,28.4166832,77.0412894,3.3
277,Apni Rasoi,28.4841816,77.0129534,2.9
278,DBDN Deena Meat Vala,28.4569872,77.026849,3.2
279,Deep Chicken Corner,28.4667157,77.0206596,3.2
280,Dilli Rasoi,28.4667607,77.0203953,3.2
281,French Omelette,28.4668549,77.0204174,3.2
282,Green Chick Chop,28.4709408,77.0189174,2.9
283,Hangout Cafe,28.4653555,77.0196893,3.4
284,Hari Om Rasoi,28.4603933,77.0178663,3.2
285,Harish Phulwari,28.4580309,77.0274904,3.1
286,Hotel Rajvanshi Restaurant,28.4645876,77.022202,3.3
287,Jagdish Vaishno Dhaba,28.473084,77.0181934,3.1
288,JVR Jayka,28.4730183,77.0182331,2.9
289,Kaza,28.4823394,77.0136942,3.1
290,Knight Delight Kafe,28.4810609,77.0141435,2.6
291,Ko Jitters,28.4678506,77.0166864,3
292,Laajawab Chaap Express,28.4674068,77.0175175,3.1
293,Laddu Gopal,28.4713437,77.0193016,3
294,Pakwan,28.4712555,77.0189082,3.4
295,Patiala,28.4667702,77.0204469,3.4
296,Pind Balluchi,28.4639996,77.0221359,2.7
297,Pizza Man,28.4721483,77.0186408,2.9
298,Punjabi Dhani,28.470213,77.0193636,3.2
299,Raju Halwai,28.4603566,77.0179074,3.1
300,Rupa Tikki Wala And Caterers,28.4626082,77.023212,2.8
301,Samrat The Cake Shoppe,28.4597556,77.0259078,3
302,Samrat,28.4598188,77.0259899,2.9
303,Sanjha Chula,28.4570545,77.0200512,3
304,Silver Crown,28.4669487,77.0191832,2.5
305,Super Bakery,28.4609586,77.0247842,3.3
306,The Chic,28.470938,77.0187625,3
307,Unique Bus Wales,28.467287,77.0175382,2.8
308,Mangle Di Kulfi,28.4655014,77.0168909,3.6
309,The Oven Artist,28.4652054,77.0157175,3.5
310,Pizza Hut Delivery,28.4109555,77.0432685,2.2
311,Hot Cherries,28.4106951,77.0433584,3.6
312,Coldpress Company,28.4105331,77.0435383,4.1
313,Shree Rathnam,28.4511301,77.0974101,3.4
314,Caffe Tonino,28.4511301,77.0974101,3.8
315,Delhi Club House,28.4514834,77.0968183,3.9
316,GoGourmet,28.4511473,77.0975899,3.7
317,Shophouse by Kylin,28.4506618,77.0972691,3.5
318,Starbucks,28.45109776,77.09822863,3.5
319,Baskin Robbins,28.5125527,77.0378999,3.1
320,Chawla Bakers,28.502947,77.030404,3.2
321,Crust N Cakes,28.5037904,77.0362376,3.2
322,Darjeeling Kanchanjanga Momos,28.5118498,77.0409296,2.9
323,Hangover,28.4865257,77.0199219,2.7
324,Sangam Sweets,28.5176801,77.0373642,2.5
325,Shree Bikaner Misthan Bhandar,28.5029296,77.0302241,3
326,Shree Shyam Rasoi,28.5034359,77.0336712,3.1
327,Swad On Grill,28.5125468,77.037902,3.1
328,Angels in my Kitchen,28.4722814,77.1019957,3.1
329,Barista,28.4715146,77.1022778,3.3
330,Cafe Coffee Day,28.4718072,77.1017259,2.8
331,Cafe Naklee,28.4720297,77.1021755,3.2
332,Green Chick Chop,28.472128,77.1022654,2.8
333,Sapra Pastry Treat,28.4720383,77.1022654,3
334,Subway,28.4715582,77.1024003,3.2
335,Sunny Sweets,28.4715383,77.1017259,3.3
336,The Healthy Rasoi,28.4713676,77.1018159,3.7
337,Burger King,28.4237354,77.0392029,3
338,Hong Kong Express,28.4234228,77.0395802,3.2
339,Viva Hyderabad,28.4234142,77.0394902,2.3
340,Shamji Sweets,28.4596657,77.0268394,3.2
341,Sialkoti Vaishno Dhaba,28.4623451,77.0313172,3.1
342,Club Prison,28.4797207,77.0865747,2.4
343,Maa Bhagwati Tiffins,28.4636195,77.0324732,3
344,Assam Tea Corner,28.4755199,77.0404135,2.8
345,Bakingo,28.4706936,77.0441684,3
346,Burger Point,28.4735491,77.0483361,3.2
347,Burger Xpress,28.4745207,77.0476105,3.1
348,Cafe Coffee Day,28.4775051,77.046327,2.8
349,Cake Factory,28.4703517,77.0204025,3.3
350,Cake Maker,28.4741041,77.0424008,3
351,Carpedium,28.474015,77.0475174,3.1
352,Chinar Junction,28.48038451,77.04808339,2.8
353,Frontier,28.4739949,77.0424589,2.9
354,Juice Lounge,28.4694139,77.0445066,3.4
355,Keventers,28.4736495,77.0481041,2.6
356,KFC,28.4740886,77.047405,2.7
357,Madras Cafe,28.476629,77.0456073,3.3
358,Madurai Meenakshi Bhawan,28.4740911,77.0473507,3.4
359,Masala Fusion,28.4740845,77.0424589,3.2
360,Moti Mahal Delux Tandoori Trail,28.4665409,77.0351491,2.9
361,Pind Bawarchi,28.4728921,77.0482744,3.1
362,Republic of Chicken,28.4736075,77.0484406,2.8
363,Ridhi Sidhi,28.4703532,77.020392,3
364,Romi Da Dhaba,28.4750589,77.0432685,3.2
365,Shamji Sweets,28.4702133,77.0394496,2.9
366,Six Pack Kitchen,28.4699753,77.0453042,3.2
367,The Guls,28.4768261,77.0349543,3
368,The League Restaurant,28.4751486,77.0432685,3.1
369,The Plaza Solitaire,28.4751457,77.044168,3.3
370,Uttarakhand Fast Food,28.4758641,77.0363305,2.9
371,Viva Hyderabad,28.4764122,77.0445955,2.5
372,Wahid Food Corner,28.4758171,77.0347763,2.8
373,Konetto Pizza,28.4783985,77.0462096,3.5
374,South Store,28.4743176,77.0475378,3.5
375,China Hut,28.4758573,77.0376289,2.4
376,G Dot,28.4785399,77.0338227,2.4
377,Delight Express,28.4583117,77.0435543,2.9
378,Empress,28.4568511,77.033231,2.9
379,Hotel DDR,28.4588673,77.0344852,2.8
380,Khan Kabab Corner,28.4555436,77.0380952,3
381,Kwality Cakes and Bakes,28.4555152,77.0381307,3.2
382,Nite Bites,28.460253,77.041878,2.9
383,Oriental Kitchen Express,28.4577727,77.0367474,3.3
384,Royal Mart,28.4544096,77.0390954,2.9
385,Sikkim Fast Food,28.4584547,77.0435095,2.7
386,Maachh Bhaat,28.4950876,77.0609808,3.4
387,GoGourmet,28.5094378,77.0716913,3.2
388,Snack Shack,28.5095911,77.0714215,2.7
389,Cake Desire,28.5029596,77.0644469,3
390,Behrouz Biryani,28.5041335,77.0541384,3.4
391,Biryani Art,28.5041041,77.0535606,3.3
392,Faasos,28.5041074,77.0538414,3
393,Ovenstory Pizza,28.5041784,77.0540643,3.3
394,Pizza Hut Delivery,28.504122,77.0541569,2.7
395,Game n Grillz,28.5046578,77.051885,3.6
396,Machan,28.4664277,77.0644064,3.3
397,Mainland China,28.4686372,77.0623603,3.3
398,Pind Balluchi,28.4680413,77.0644064,3.4
399,Sagar Ratna,28.4681718,77.0629673,2.7
400,Sasuraal,28.4686577,77.0624277,3.3
401,feel ALIVE,28.4679257,77.0641366,4.7
402,Matchbox,28.4682268,77.0626075,4.8
403,Prankster,28.4691662,77.0633573,4.8
404,Backyard Underground,28.468337,77.063143,3.5
405,Bikanervala,28.4686806,77.0635969,3.8
406,Chin Chin,28.4682354,77.0626975,3.5
407,Eggjactly,28.4685801,77.0678878,3.7
408,Gola Sizzlers,28.4683943,77.063417,3.5
409,Hunter Valley,28.4673849,77.0638106,3.6
410,Jungle Jamboree,28.4673792,77.0640466,3.8
411,My Bar Headquarters By Dockyard,28.4679517,77.0644064,3.9
412,Punjabi by Nature,28.4691956,77.0624277,3.6
413,Sense Of Spirits,28.4695542,77.0633627,3.9
414,Starbucks,28.468377,77.0632371,3.7
415,Swagath,28.4696871,77.0628774,3.6
416,The Old School Brew House,28.467777,77.0641949,3.9
417,Barcelos,28.4691552,77.0624025,4
418,Boombox Brewstreet,28.4679344,77.0642265,4.4
419,BRONX Bar Exchange,28.4681254,77.063417,4.1
420,Djinggs,28.4679344,77.0642265,4.1
421,Drifters Cafe,28.471349,77.0671046,4.1
422,Gung The Palace,28.4685726,77.0625436,4.2
423,Magadh and Awadh,28.4723195,77.0716014,4
424,Mamagoto,28.4676568,77.0641366,4.1
425,Molecule Air Bar,28.4679344,77.0642265,4.2
426,Nagai,28.4640533,77.064243,4.3
427,PitStop BrewPub,28.4621449,77.0715571,4.4
428,The Classroom,28.4681949,77.0627425,4.4
429,Bottles and Barrels,28.4606832,77.0521813,4
430,A One Rasoi,28.4489745,77.0568391,3.1
431,Angeethi,28.4534927,77.0510698,2.7
432,Burger Point,28.4529876,77.0509079,2.7
