,lat,lon
102,28.5418777,77.2384553
103,28.5613002,77.2919304
104,28.5638568,77.3337729
105,28.5648599,77.1226212
106,28.7446158,77.1382654
107,28.7383477,77.1398323
108,28.6392211,77.2408097
109,28.5644681,77.2061374
110,28.5541129,77.203273
111,28.5672483,77.2027829
112,28.6293605,77.276622
113,28.5760446,77.2631785
114,28.5760446,77.2631785
115,28.6386159,77.0731564
116,28.5630488,77.2863387
117,28.6391996,77.3615693
118,28.5795758,77.3661008
119,28.5788458,77.3669913
120,28.630963,77.276507
121,28.6526314,77.3713857
122,28.7093467,77.2145593
123,28.6281909,77.2410728
124,28.6393915,77.3607146
125,28.560513,77.223111
126,28.5410914,77.2302907
127,28.6491348,77.2164415
128,28.699593,77.1045409
129,28.5705901,77.3597595
130,28.6395242,77.373357
131,28.69579,77.1403379
132,28.6975761,77.1093807
133,28.6456719,77.2108535
134,28.6578826,77.1460252
135,28.5703187,77.2369366
136,28.5693626,77.239698
137,28.7028126,77.0958863
138,28.7060266,77.1289818
139,28.6438892,77.1387433
140,28.6428928,77.1395345
141,28.592239,77.2971397
142,28.5946223,77.2946184
143,28.5798995,77.1705836
144,28.5662,77.18232
145,28.6278328,77.3585482
146,28.6403964,77.2934473
147,28.5697412,77.3702112
148,28.6143707,77.3678083
149,28.5934549,77.0816478
150,28.5583994,77.2064208
151,28.6689849,77.1424226
152,28.5560682,77.3849701
153,28.5743612,77.3782577
154,28.5857261,77.3752876
155,28.5653399,77.3796863
156,28.5493162,77.3899722
157,28.705932,77.120627
158,28.5821004,77.2641583
159,28.5753573,77.1237159
160,28.5738626,77.0942892
161,28.5761226,77.0991798
162,28.6957747,77.1120091
163,28.5717037,77.2374956
164,28.643492,77.187296
165,28.64038,77.213101
166,28.5555937,77.2412436
167,28.6301629,77.2775133
168,28.5836536,77.2219077
169,28.6228538,77.2966417
170,28.6675343,77.2281803
171,28.5665064,77.246604
172,28.5723864,77.3886865
173,28.5723204,77.3887429
174,28.7310407,77.1593415
175,28.6573897,77.3294696
176,28.657502,77.329321
177,28.669344,77.329608
178,28.67028,77.330189
179,28.669492,77.329306
180,28.666922,77.3178057
181,28.5667966,77.2088857
182,28.5663672,77.207556
183,28.6439995,77.1912841
184,28.6095667,77.1365833
185,28.6424955,77.1782756
186,28.6382372,77.2112336
187,28.6273191,77.3589892
188,28.6472419,77.1940204
189,28.5766172,77.3373457
190,28.5656044,77.2442543
191,28.5682373,77.2470753
192,28.6944136,77.1287968
193,28.63743,77.286971
194,28.5662268,77.2309338
195,28.5544372,77.2272814
196,28.565871,77.2492973
197,28.5887494,77.2572494
198,28.6320386,77.2213949
199,28.6460854,77.0980297
200,28.6500229,77.0439519
201,28.6500017,77.0439512
202,28.6121754,77.0886731
203,28.5645418,77.2399229
204,28.6695828,77.1018175
205,28.5839977,77.1914406
206,28.6581566,77.1940384
207,28.6206019,77.249551
208,28.5890885,77.3015085
209,28.5747334,77.3561638
210,28.5673755,77.3463247
211,28.5638964,77.334332
212,28.5707583,77.3260756
213,28.578081,77.3177778
214,28.5848835,77.3116118
215,28.7259717,77.162658
216,28.5783568,77.0473517
217,28.6200104,77.2119245
218,28.5660178,77.1946519
219,28.5652763,77.2416682
220,28.6647261,77.2051696
221,28.5543097,77.2428971
222,28.5769233,77.2660263
223,28.6778506,77.2241288
224,28.6471512,77.3412971
225,28.6520842,77.3603535
226,28.7027136,77.1939912
227,28.5668602,77.2078058
228,28.5580071,77.2067933
229,28.6768508,77.2250299
230,28.6863222,77.2217271
231,28.6950369,77.2147192
232,28.6981317,77.2064113
233,28.6574453,77.3587207
234,28.5695528,77.32535
235,28.6584227,77.2303375
236,28.6492649,77.2265153
237,28.6229664,77.214031
238,28.6095136,77.211796
239,28.5973513,77.2110967
240,28.5865979,77.212534
241,28.6455529,77.3717563
242,28.6861947,77.3702958
243,28.5770068,77.3394731
244,28.6600937,77.367961
245,28.661683,77.360141
246,28.7258364,77.2893602
247,28.6875033,77.3394397
248,28.6141769,77.3522092
249,28.6661429,77.3310229
250,28.6481363,77.3516937
251,28.5799524,77.3355089
252,28.6267789,77.3483944
253,28.5935471,77.3701425
254,28.5874352,77.3570766
255,28.6921759,77.3416096
256,28.6927335,77.3397857
257,28.642142,77.3257148
258,28.6794273,77.3848736
259,28.6471759,77.3446432
260,28.6783954,77.3657387
261,28.6837476,77.3551735
262,28.5711965,77.3280893
263,28.6876173,77.3410841
264,28.6463402,77.3470599
265,28.6362843,77.3607058
266,28.6449508,77.3391154
267,28.6098891,77.3467249
268,28.5982422,77.3389501
269,28.5974067,77.336034
270,28.6501229,77.364914
271,28.6461343,77.3400948
272,28.5830991,77.3351213
273,28.5742086,77.3229977
274,28.5794754,77.3349001
275,28.5792305,77.3611736
276,28.6934335,77.3396918
277,28.6405677,77.3412821
278,28.6054251,77.3796433
279,28.6415217,77.3622827
280,28.5973899,77.3379467
281,28.6937758,77.3447263
282,28.5771885,77.3272443
283,28.6376181,77.3385546
284,28.6414917,77.3661733
285,28.596142,77.343176
286,28.6446849,77.3253943
287,28.6256334,77.2201793
288,28.5686405,77.2202128
289,28.6489325,77.119225
290,28.5647231,77.2437868
