,lat,lon
144,12.9856254,77.5788885
145,12.9853569,77.5792692
146,12.9853129,77.5792466
147,12.9578638,77.5932147
148,12.966942,77.60796
149,12.9598156,77.7481385
150,12.9598316,77.7473381
151,12.9598375,77.7476967
152,12.9598229,77.7479363
153,12.9598943,77.7481291
154,12.9800191,77.6948879
155,12.9793213,77.6952589
156,12.9788613,77.6946259
157,12.9530437,77.6997821
158,12.9349478,77.6295288
159,12.9982559,77.5694503
160,13.0088749,77.563252
161,13.0009296,77.5723686
162,13.0010829,77.5721394
163,12.9833264,77.5980258
164,12.9040043,77.5734008
165,12.8940827,77.5679951
166,12.9793502,77.6421411
167,12.9621543,77.6418716
168,12.9370423,77.6245906
169,12.9342471,77.6234716
170,12.9370998,77.6245424
171,12.9689293,77.629115
172,12.9075699,77.5640131
173,12.9109843,77.5791221
174,12.9056456,77.5855728
175,12.9027732,77.5837541
176,12.912138,77.5995926
177,12.9690594,77.6479877
178,12.9520885,77.6432863
179,12.9363255,77.5767626
180,12.9569204,77.7152878
181,12.9561843,77.7166376
182,12.9645823,77.7161206
183,12.9645889,77.7161544
184,12.9645911,77.7161791
185,12.9365445,77.6142714
186,12.9338202,77.6193658
187,12.9345967,77.6162526
188,12.9336119,77.6152238
189,12.9338304,77.6194655
190,12.9365369,77.614409
191,12.9336331,77.622557
192,12.9336731,77.6215853
193,12.9359336,77.6146718
194,12.9334825,77.6210731
195,12.9362549,77.6145138
196,12.9338227,77.6193019
197,12.9358653,77.6149483
198,12.9363343,77.6151183
199,12.9337973,77.6189966
200,12.9358031,77.6147343
201,12.9363805,77.6151025
202,12.9334311,77.6217925
203,12.9341001,77.6164042
204,12.936529,77.6146211
205,12.9338857,77.6194174
206,12.9643071,77.6437722
207,12.9690292,77.6361441
208,12.9699607,77.64103
209,12.9791618,77.7512723
210,12.9588063,77.7465277
211,12.957152,77.7385924
212,12.9575316,77.7407836
213,12.9632258,77.7482429
214,12.9681582,77.7506792
215,12.9564558,77.7427026
216,12.9700266,77.7497775
217,12.969285,77.7496642
218,12.9999497,77.6229731
219,12.9993499,77.5678342
220,12.9766211,77.5725503
221,12.9364341,77.6211419
222,12.934525,77.610909
223,12.935016,77.611357
224,12.934504,77.613547
225,12.934323,77.613299
226,12.9306133,77.5825147
227,12.9256218,77.5502249
228,12.9256318,77.5498709
229,13.0055106,77.5787567
230,13.0046183,77.5784554
231,12.9260621,77.6760012
232,12.9267253,77.4981279
233,12.9368003,77.5169615
234,12.9259148,77.5164894
235,12.9214078,77.5206736
236,12.9099779,77.5508753
237,13.0797112,77.5591265
238,13.0775498,77.5587667
239,12.934295,77.6300787
240,12.9312186,77.6342399
241,13.041276,77.5163638
242,13.0321716,77.5699911
243,13.0314294,77.5702969
244,13.0289717,77.5712245
245,13.0291118,77.5711201
246,13.0277162,77.5717024
247,13.0362977,77.5746582
248,12.9331413,77.6228508
249,12.9414203,77.553445
250,12.9166102,77.5914577
251,12.9153417,77.5948673
252,12.955452,77.697866
253,12.9362724,77.621296
254,12.963978,77.7487116
255,12.9422358,77.6178071
256,12.9158906,77.6059583
257,12.9440288,77.5727582
258,12.9444313,77.5729353
259,12.9345184,77.6137161
260,12.9345398,77.6132521
261,12.988545,77.5377868
262,13.0042469,77.550715
263,12.943764,77.6071874
264,12.93461,77.6107987
265,12.934104,77.6164798
266,12.9368528,77.6203487
267,12.9366057,77.6205137
268,13.0989001,77.5876488
269,12.9363015,77.6151475
270,12.9360411,77.6148636
271,12.936049,77.6150661
272,12.9373691,77.6243143
273,12.9368986,77.6198954
274,12.9364077,77.6250803
275,12.9373234,77.624368
276,12.9401578,77.6229647
277,12.9369809,77.6197694
278,12.9368711,77.6248696
279,12.9168527,77.6034541
280,12.9348451,77.6128809
281,12.9350385,77.6130633
282,12.935577,77.6130901
283,12.9371352,77.619779
284,12.9365549,77.6165979
285,12.8737015,77.6420142
286,12.936869,77.6247225
287,12.9368481,77.6198784
288,12.936937,77.6202003
289,12.9368899,77.6197711
290,12.9369893,77.6201144
291,12.9368847,77.6246206
292,12.9377944,77.6266966
293,12.9361835,77.6258638
294,12.9380577,77.6261445
295,12.9377879,77.6263171
296,13.0200035,77.7088068
297,12.912057,77.6379293
298,12.9143715,77.6382858
299,12.9959044,77.6130336
300,12.9958364,77.6131543
301,12.9971381,77.6110429
302,12.9961448,77.6112526
303,12.9931105,77.6089191
304,12.9934162,77.608356
305,12.9960742,77.6170891
306,12.9352294,77.6076048
307,12.9343755,77.6090481
308,12.9358715,77.6077389
309,12.9335261,77.6152234
310,12.9062634,77.6298345
311,12.9258752,77.6170606
312,12.933536,77.6155026
313,12.9352797,77.6157628
314,12.9338001,77.619424
315,12.9416947,77.621508
316,12.9227705,77.6142078
317,12.9198254,77.6127816
318,12.9366298,77.6132797
319,12.9364753,77.621053
320,12.9367367,77.6206239
321,12.914781,77.638303
322,12.9388779,77.61893
323,12.9170218,77.6292559
324,12.9678444,77.6545081
325,13.0934342,77.5824857
326,13.098633,77.5773144
327,13.0591093,77.5931284
328,12.9342688,77.612715
329,13.027249,77.5798112
330,12.9332663,77.6153051
331,12.9253564,77.5496136
332,12.9251321,77.5507224
333,12.934117,77.612782
334,12.9314867,77.5761365
335,13.0039772,77.5509235
336,12.9315297,77.6327864
337,12.9603151,77.6458853
338,13.0271417,77.5438625
339,13.0581797,77.5947625
340,13.0639227,77.5889582
341,13.0201794,77.6745195
342,12.9142096,77.637363
343,12.9382447,77.6288365
344,12.9377248,77.6289221
345,12.938682,77.6299136
346,12.9375545,77.6281177
347,12.9378413,77.6288849
348,12.9376735,77.6264373
349,12.9519422,77.6397478
350,12.9526958,77.640104
351,12.9525546,77.6400289
352,12.9285538,77.5818694
353,12.9287808,77.5856675
354,12.9244542,77.5643439
355,12.9403137,77.5645095
356,12.9393831,77.5641393
357,12.9449194,77.5680581
358,12.9480672,77.5682863
359,12.9485377,77.5687691
360,12.9251478,77.5507385
361,12.972675,77.6070057
362,12.9753513,77.6039839
363,12.9746853,77.605772
364,12.9729633,77.6086054
365,12.974763,77.6051072
366,12.9317341,77.6228586
367,13.00091,77.5412684
368,12.9285616,77.5820034
369,12.9276361,77.5779238
370,12.9278474,77.5782069
371,12.9285276,77.5826445
372,12.9287733,77.58578
373,12.9277143,77.5861502
374,12.922039,77.620302
375,12.921876,77.620493
376,12.9955709,77.6136474
377,12.9972279,77.6143877
378,12.9973063,77.6138674
379,12.9963445,77.6157181
380,12.9999459,77.6158737
381,12.978234,77.6426096
382,12.9716231,77.6409232
383,12.9329962,77.5850947
384,12.9243848,77.5858198
385,12.9822735,77.6078285
386,12.9825453,77.6104302
387,12.9365507,77.6204895
388,12.9166125,77.6202564
389,12.9339607,77.6104356
390,12.9164249,77.6164112
391,12.9256315,77.6152769
392,12.9229035,77.6134614
393,12.9231702,77.6126406
394,12.9459429,77.5956857
395,12.9459575,77.5951685
396,12.9494002,77.5926204
397,12.9231276,77.5860269
398,13.0256971,77.5931352
399,13.0249236,77.5927811
400,12.921875,77.620121
401,13.0233034,77.5928133
402,12.997825,77.5499844
403,12.9982581,77.5508655
404,12.9872807,77.5494174
405,12.9260154,77.5641098
406,12.9734181,77.5419268
407,12.9716571,77.537278
408,13.0012499,77.6292192
409,12.9923298,77.7131282
410,12.9216098,77.6453053
411,12.9708868,77.6074274
412,12.971167,77.605779
413,12.9139161,77.6102112
414,12.972953,77.5998808
415,12.9745441,77.5980183
416,12.9643003,77.5866127
417,12.9447245,77.7100551
418,13.030076,77.5593983
419,12.9591717,77.6550416
420,12.9595298,77.6561326
421,12.952399,77.6400371
422,12.9871697,77.7360104
423,12.9251489,77.5861051
424,12.9868232,77.5800176
425,12.9168408,77.5851479
426,12.9331034,77.585029
427,12.9311975,77.6228542
428,12.9554704,77.5801737
429,12.9877001,77.5782687
430,12.978049,77.5797797
431,12.9891068,77.5938601
432,12.9655759,77.5898726
433,12.9649785,77.6385321
434,12.957444,77.7091287
435,12.9721913,77.6009555
436,12.9722076,77.600877
437,12.9558315,77.729344
438,12.9572347,77.7331316
439,12.934392,77.5895053
